,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
21918,21918,17.4055,-1.29244e-05,-1.91348e-05,-1.8967e-05,-1.72885e-05,-2.06455e-05,-1.72885e-05,1.17494e-06,-2.65202e-05,-1.10781e-05,-1.67849e-07
21919,21919,17.4063,-1.42672e-05,-1.57778e-05,-1.8967e-05,-1.62814e-05,-1.96384e-05,-1.71206e-05,7.04967e-06,-2.70237e-05,-1.10781e-05,-4.19623e-06
21920,21920,17.4071,-1.42672e-05,-1.561e-05,-2.09812e-05,-1.54421e-05,-1.8967e-05,-1.46029e-05,1.93027e-05,-2.73594e-05,-1.12459e-05,-2.85344e-06
21921,21921,17.4079,-1.30922e-05,-1.46029e-05,-2.23239e-05,-1.49386e-05,-1.82956e-05,-1.05745e-05,2.06455e-05,-2.7863e-05,-1.81277e-05,-1.0071e-06
21922,21922,17.4086,-1.66171e-05,-1.35958e-05,-2.23239e-05,-1.30922e-05,-1.561e-05,-7.55322e-06,1.32601e-05,-2.7863e-05,-1.76242e-05,-4.19623e-06
21923,21923,17.4094,-1.8967e-05,-1.19173e-05,-2.19883e-05,-1.05745e-05,-1.29244e-05,-5.20333e-06,-1.0071e-06,-3.27306e-05,-1.37636e-05,-3.35698e-06
21924,21924,17.4102,-1.71206e-05,-8.39246e-06,-2.09812e-05,-7.88891e-06,-1.35958e-05,1.67849e-06,-5.20333e-06,-3.28984e-05,-4.53193e-06,4.86763e-06
21925,21925,17.411,-1.49386e-05,-1.2253e-05,-2.19883e-05,-9.73526e-06,-1.39315e-05,4.53193e-06,-8.22461e-06,-3.23949e-05,6.88182e-06,1.49386e-05
21926,21926,17.4118,-1.62814e-05,-1.20851e-05,-2.19883e-05,-1.10781e-05,-1.39315e-05,5.87472e-06,-3.18914e-06,-3.10521e-05,7.72107e-06,1.62814e-05
21927,21927,17.4126,-1.66171e-05,-1.35958e-05,-1.96384e-05,-1.2253e-05,-1.52743e-05,8.56031e-06,1.10781e-05,-2.63523e-05,1.15816e-05,1.15816e-05
