,0,1,2,3,4,5,6,7,8,9
16,5.204907462863316e-05,4.287043956254128e-05,4.0338163061750516e-05,7.137282570690453e-06,4.231067650611351e-05,1.0984282288204529e-05,0.00013616690210320367,4.5084096345495794e-05,3.0667736390967297e-06,1.4948275488061738e-05
17,2.5644470477471577e-05,4.717840920714656e-07,1.930933088031134e-05,3.204472676823367e-05,2.3843950111804843e-06,3.26852952891328e-05,1.7546478333121e-05,4.3599784174086336e-05,7.6113599703850365e-06,3.666260821627257e-05
18,1.6804090099213894e-05,1.4528495802075818e-05,7.780503179275354e-06,1.1717674022258881e-05,4.3230006686838194e-05,4.166763020382448e-06,0.00010574166477337498,2.256081985467055e-05,2.8548646037583166e-05,8.600326728187426e-06
19,3.1030863556099614e-05,3.249743772628886e-05,7.428614718246547e-05,3.3095096499969264e-05,4.3802231565726865e-05,1.2952163643829262e-05,3.662391320928711e-06,2.707491129684414e-05,2.9121424191410555e-05,2.9943346997375347e-05
20,1.966184463107698e-05,1.659020046785766e-05,2.01755649710837e-05,3.501088247456921e-05,6.461421285271784e-06,7.439430222052898e-06,0.00019609004876712085,5.512165987396341e-05,6.997187145958207e-06,1.738863145778089e-05
21,9.232863488468938e-06,1.0413531966121073e-05,1.815355222659985e-05,1.1571367316071707e-05,2.3552712309818172e-05,8.468318140652827e-06,0.00019123305115234735,2.1181188869857128e-05,1.0304772070041156e-05,3.938309582491987e-06
22,9.61835434881078e-07,2.0737410016071437e-05,9.000393371654825e-06,3.299960848418025e-06,8.187337563663526e-06,1.3426130541866484e-05,1.5140113899702018e-05,3.56652537406407e-05,4.657427436885716e-05,3.8029875220326603e-05
23,9.208103251793514e-06,1.6244494500240983e-05,2.0305259912764715e-05,1.2373801754426872e-05,1.6386304875496592e-06,1.5152673167075578e-05,0.00010959783099621782,1.8205609187869873e-05,1.325022722572389e-05,1.0076223271963704e-05
24,1.1374184625277086e-05,3.1911212193864456e-05,4.4087361054411276e-05,3.617399850570296e-05,3.0471934269266687e-05,1.2135449376292928e-05,0.0002798128364043084,7.979470841462419e-05,1.0577666031538668e-05,3.2412074200942907e-06
25,4.9715257275289554e-05,1.2197767660300506e-05,2.861502744044673e-05,2.1931901883765366e-05,3.425762398761305e-05,1.982224121480923e-05,0.00011550557809312444,6.050625236384811e-05,4.642231571563736e-06,5.8669053150947934e-05
26,9.69517752396016e-06,1.782977796042818e-05,8.092028378295197e-06,2.1283624877478665e-05,2.4897876489059316e-05,1.6121267224137502e-05,9.953442873056971e-05,2.53255027219402e-05,4.130305876566662e-05,5.908237606800204e-05
27,8.261037320484413e-06,1.0468502580654582e-05,2.0397742576800897e-05,1.9705262632103357e-05,1.6855552356866003e-05,5.036431873822477e-06,0.00014748166468702526,3.1319704582565275e-05,1.1697594401039563e-05,2.4808449952515985e-05
28,2.2893133809510465e-05,8.98554389434897e-06,2.1903704561668065e-05,5.245820447491929e-06,7.486105450424157e-06,8.138569269223915e-06,7.366469275240652e-05,5.902446625485685e-06,3.140561046413453e-06,2.2643632441910372e-06
29,1.0392414203083234e-06,2.421595333667441e-06,1.5136507094214042e-05,8.737374364349095e-06,3.108685247794011e-05,1.0094713232191178e-05,4.21897365949275e-06,4.193075277642145e-05,9.571316032678378e-06,6.693371180565224e-05
30,1.5398866288800885e-06,1.4192944557832243e-05,1.1481552919850107e-05,9.81922977405007e-06,7.096380114889718e-06,7.655108245159645e-06,6.592112877967697e-05,1.1306262327942858e-05,4.2475298477614444e-06,1.1516997958262082e-05
31,2.321190085456055e-05,2.9348552691901435e-05,3.263322334619482e-05,1.789057673290614e-05,3.872263575842179e-05,1.973532487681455e-05,0.00016053040109594978,6.378894737976372e-05,5.556901336100498e-07,2.4087453429702356e-05
32,8.044976010457289e-06,1.1466581685687327e-05,3.5238561877442123e-06,2.5747310249437556e-06,8.478736068639263e-09,1.796873313875853e-06,0.00012530695718513204,5.615870487318998e-05,5.728510860825436e-06,5.1981598071380136e-05
33,5.120121444071474e-06,1.9677339473559975e-05,2.569318108054651e-05,2.447705537202635e-05,2.410569875623045e-05,5.041438587402176e-06,2.6434296485099565e-05,2.8693319166738006e-05,8.17584754533594e-06,9.422851865104714e-06
34,3.693381186057057e-05,1.1001104764407861e-05,3.760069453819455e-05,5.537547835679516e-06,5.961491641700742e-07,3.6746420569706803e-06,9.046835878431356e-06,7.905789837740462e-06,1.028696028579045e-05,1.813843619175138e-05
35,1.2981198884540557e-05,8.69226808537129e-06,8.878245850008854e-06,9.471910148160525e-06,1.0608094004230966e-06,1.3170330232979404e-05,0.00011583269270996214,4.184506163860224e-05,1.1716236855030002e-05,2.8728664004307096e-06
36,2.0761917104796907e-05,3.183493575848363e-05,2.8333676613653314e-05,5.1526340886475644e-05,3.9226033184012104e-05,2.0857203872290857e-06,3.5340593510499655e-05,4.649652488060816e-05,1.5012635698277358e-05,2.1682995905492632e-06
37,5.460199610187784e-06,1.8988328208054635e-06,5.316652076797748e-06,6.770745307887153e-06,2.3337315330899142e-05,1.551436296836552e-05,0.00010406182507997489,1.4698596418239036e-06,2.39733473347406e-06,5.600400343162986e-06
38,1.987044339374694e-05,1.7568898345374454e-05,1.9426585935065492e-05,1.6272527039835235e-05,1.7742758082820528e-05,7.86312881739013e-06,3.035387830705219e-05,1.748966645543181e-05,6.616213535607976e-06,4.66797167004163e-05
39,1.0052977939350123e-05,3.389722408227513e-06,1.4932737946981293e-05,1.2899071766096234e-05,1.002817083435186e-05,6.789336695128274e-06,3.6596232446222264e-05,2.881835958870791e-05,5.835544374617105e-06,1.3490131599480812e-05
40,2.4336258098697324e-06,4.37906264827779e-06,1.302718445452254e-05,1.5865445940624672e-06,6.242349505785254e-06,7.1947883722425325e-06,1.7750311963232815e-05,1.3970106728223795e-05,1.7800063913375872e-05,2.2857310262979088e-06
41,2.873774971579202e-05,3.764907591038217e-05,3.834494369088055e-05,3.053904753220898e-05,1.8436992706696167e-05,1.7504512005894043e-05,5.884434158731661e-06,6.878804043796716e-05,3.380558314688036e-05,9.846832810910234e-06
42,1.4249426111851e-05,7.703625955932977e-06,5.104287277446627e-06,1.1364569911431613e-05,1.715284446257861e-05,9.55775186715963e-06,3.082912897156688e-05,6.524805783601856e-06,3.2534806531334995e-05,9.201032961566401e-06
43,9.193106952177258e-06,2.35650703709928e-05,7.686524383471657e-06,1.4790827989673319e-05,2.3372410353066884e-05,1.6721016234063815e-05,6.0878265802897435e-06,2.6015760895936208e-05,8.404406135161222e-06,1.5279271908678875e-05
44,2.757728357390766e-05,3.4912712247102e-05,1.0009515308459757e-05,1.1728647447694382e-06,1.649223846420005e-05,8.91997454711098e-06,1.7229443048499398e-06,1.0609073540542887e-05,8.040841890948256e-06,7.250184213732982e-06
