,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
44912,44912,35.6654,-1.8967e-05,-1.96384e-05,-1.79599e-05,-6.21042e-06,-1.66171e-05,3.52483e-06,5.62295e-05,-0.000134447,-2.85344e-06,-9.9031e-06
44913,44913,35.6662,-1.64492e-05,-1.84634e-05,-1.66171e-05,-2.73594e-05,-2.29953e-05,-1.67849e-06,2.23239e-05,-8.74495e-05,-5.87472e-06,-1.17494e-05
44914,44914,35.667,-1.2253e-05,-1.46029e-05,-1.561e-05,-3.52483e-05,-2.40024e-05,-5.53903e-06,-2.53452e-05,-7.10002e-05,-1.04067e-05,-9.23171e-06
44915,44915,35.6678,-1.0071e-05,-1.61135e-05,-1.29244e-05,-4.51514e-05,-1.98062e-05,-9.56741e-06,-7.33501e-05,-7.46929e-05,-1.05745e-05,-4.53193e-06
44916,44916,35.6686,-1.2253e-05,-1.86313e-05,-1.42672e-05,-6.05936e-05,-2.51774e-05,-9.56741e-06,-7.53643e-05,-8.5771e-05,-5.03548e-06,-4.86763e-06
44917,44917,35.6694,-1.561e-05,-1.96384e-05,-1.561e-05,-5.55581e-05,-3.17235e-05,-7.88891e-06,-4.85084e-05,-0.000116655,-1.67849e-07,-5.87472e-06
44918,44918,35.6702,-1.66171e-05,-2.03098e-05,-1.93027e-05,-3.0045e-05,-3.30663e-05,-8.56031e-06,2.76951e-05,-0.000104906,1.67849e-06,-3.86053e-06
44919,44919,35.671,-1.35958e-05,-1.96384e-05,-2.13169e-05,-1.59457e-05,-3.84375e-05,-7.88891e-06,6.05936e-05,-6.73075e-05,2.85344e-06,-3.86053e-06
44920,44920,35.6718,-1.25887e-05,-1.82956e-05,-2.13169e-05,-1.84634e-05,-4.38087e-05,-6.88182e-06,3.20592e-05,-5.52224e-05,9.73526e-06,-2.18204e-06
44921,44921,35.6726,-1.29244e-05,-1.69528e-05,-3.03807e-05,-1.93027e-05,-3.91089e-05,-4.36408e-06,-8.22461e-06,-8.27497e-05,1.4435e-05,5.03548e-07
44922,44922,35.6734,-1.35958e-05,-1.49386e-05,-3.37377e-05,-1.72885e-05,-2.58488e-05,-4.02838e-06,-9.23171e-06,-0.000109102,2.29953e-05,1.0071e-06
44923,44923,35.6741,-1.19173e-05,-1.561e-05,-3.20592e-05,-1.0071e-05,-1.79599e-05,-6.21042e-06,-9.73526e-06,-0.000132433,2.6688e-05,-1.67849e-07
44924,44924,35.6749,-1.15816e-05,-1.64492e-05,-3.32342e-05,-4.36408e-06,-1.25887e-05,-5.87472e-06,3.94446e-05,-0.000128069,1.79599e-05,-5.03548e-07
44925,44925,35.6757,-1.27565e-05,-1.62814e-05,-3.17235e-05,-5.20333e-06,-7.38537e-06,-5.20333e-06,0.000118669,-0.000104067,1.12459e-05,5.03548e-07
44926,44926,35.6765,-1.2253e-05,-1.69528e-05,-2.73594e-05,2.85344e-06,2.51774e-06,-5.03548e-06,-7.10002e-05,-0.000102556,1.12459e-05,-1.67849e-07
44927,44927,35.6773,-1.561e-05,-1.62814e-05,-2.53452e-05,8.22461e-06,-2.51774e-06,-6.88182e-06,-0.000123033,-0.00011632,1.25887e-05,-5.03548e-07
44928,44928,35.6781,-1.27565e-05,-1.52743e-05,-2.1149e-05,1.67849e-06,-1.4435e-05,-9.23171e-06,-3.70947e-05,-0.000129244,1.30922e-05,1.17494e-06
44929,44929,35.6789,-1.04067e-05,-1.59457e-05,-1.49386e-05,-1.15816e-05,-1.15816e-05,-1.02388e-05,2.04776e-05,-0.000138476,9.9031e-06,2.18204e-06
44930,44930,35.6797,-1.04067e-05,-1.49386e-05,-1.15816e-05,-2.56809e-05,-1.09102e-05,-8.56031e-06,0.000127062,-0.000110277,5.20333e-06,3.18914e-06
44931,44931,35.6805,-8.56031e-06,-1.15816e-05,-9.56741e-06,-2.61845e-05,-9.56741e-06,-7.88891e-06,0.000129915,-7.03288e-05,-1.67849e-06,5.53903e-06
44932,44932,35.6813,-2.51774e-06,-6.21042e-06,-7.55322e-06,-1.09102e-05,-3.52483e-06,-5.53903e-06,0.00010927,-6.41184e-05,-1.51064e-06,7.88891e-06
44933,44933,35.6821,-3.02129e-06,-3.18914e-06,-6.21042e-06,-3.86053e-06,-8.56031e-06,-6.54612e-06,0.00013579,-5.01869e-05,-2.85344e-06,5.87472e-06
44934,44934,35.6829,-1.59457e-05,-8.56031e-06,-1.49386e-05,-8.89601e-06,-1.99741e-05,-6.21042e-06,7.50286e-05,-2.3331e-05,-2.34989e-06,5.53903e-06
44935,44935,35.6837,-1.86313e-05,-1.61135e-05,-2.40024e-05,-1.17494e-05,-2.56809e-05,-3.52483e-06,2.63523e-05,-1.98062e-05,-3.52483e-06,4.53193e-06
44936,44936,35.6845,-1.66171e-05,-1.82956e-05,-2.63523e-05,-1.19173e-05,-3.20592e-05,-3.35698e-07,4.19623e-06,-2.06455e-05,-5.53903e-06,5.20333e-06
44937,44937,35.6853,-1.46029e-05,-1.69528e-05,-2.70237e-05,-1.07424e-05,-2.97093e-05,-4.86763e-06,-5.16976e-05,-1.17494e-06,3.18914e-06,7.55322e-06
44938,44938,35.6861,-1.49386e-05,-1.62814e-05,-2.60166e-05,-1.81277e-05,-2.83665e-05,-7.55322e-06,-7.16716e-05,4.81727e-05,2.18204e-06,7.72107e-06
44939,44939,35.6869,-1.42672e-05,-1.84634e-05,-2.56809e-05,-1.69528e-05,-3.50805e-05,-4.86763e-06,-3.0045e-05,6.52934e-05,1.51064e-06,8.56031e-06
44940,44940,35.6876,-1.24208e-05,-1.72885e-05,-2.73594e-05,-3.02129e-06,-3.37377e-05,-7.55322e-06,2.63523e-05,6.22721e-05,-4.53193e-06,7.88891e-06
44941,44941,35.6884,-1.27565e-05,-1.46029e-05,-2.97093e-05,2.18204e-06,-2.29953e-05,-5.53903e-06,6.1265e-05,5.84115e-05,-9.56741e-06,9.56741e-06
44942,44942,35.6892,-9.56741e-06,-1.0071e-05,-2.40024e-05,-6.88182e-06,-2.09812e-05,-5.03548e-06,3.72625e-05,5.80758e-05,-4.36408e-06,1.25887e-05
44943,44943,35.69,-1.19173e-05,-1.67849e-07,-2.4506e-05,-1.46029e-05,-2.18204e-05,-6.88182e-06,1.15816e-05,6.09293e-05,1.561e-05,1.42672e-05
44944,44944,35.6908,-1.57778e-05,-8.39246e-07,-2.56809e-05,-1.35958e-05,-1.76242e-05,-5.53903e-06,4.53193e-06,5.75723e-05,2.26596e-05,1.71206e-05
44945,44945,35.6916,-1.49386e-05,-5.70687e-06,-2.06455e-05,-2.16526e-05,-1.25887e-05,-3.69268e-06,-1.67849e-07,5.58938e-05,-1.02388e-05,1.69528e-05
44946,44946,35.6924,-1.29244e-05,-1.04067e-05,-2.19883e-05,-3.91089e-05,-1.35958e-05,-3.35698e-06,-1.51064e-06,5.22011e-05,-2.90379e-05,1.37636e-05
44947,44947,35.6932,-1.37636e-05,-1.82956e-05,-2.29953e-05,-5.28725e-05,-1.52743e-05,-3.52483e-06,-6.37827e-06,4.81727e-05,-1.66171e-05,1.32601e-05
44948,44948,35.694,-6.88182e-06,-2.36667e-05,-2.23239e-05,-3.86053e-05,-1.27565e-05,-2.85344e-06,-7.72107e-06,5.82437e-05,-1.76242e-05,1.46029e-05
44949,44949,35.6948,6.71397e-07,-1.76242e-05,-1.561e-05,-2.24918e-05,-1.67849e-05,-5.20333e-06,-8.56031e-06,5.69009e-05,-1.62814e-05,1.7792e-05
44950,44950,35.6956,3.86053e-06,-1.2253e-05,-1.12459e-05,-1.93027e-05,-1.86313e-05,-5.03548e-06,-1.09102e-05,4.61585e-05,-1.09102e-05,2.06455e-05
44951,44951,35.6964,3.02129e-06,-6.88182e-06,-1.05745e-05,-1.46029e-05,-1.39315e-05,-5.53903e-06,-1.12459e-05,3.54162e-05,1.84634e-06,2.48417e-05
44952,44952,35.6972,-1.61135e-05,-4.36408e-06,-9.73526e-06,-9.56741e-06,-1.72885e-05,-3.52483e-06,-1.09102e-05,3.10521e-05,1.05745e-05,2.41703e-05
44953,44953,35.698,-5.62295e-05,-1.52743e-05,-1.93027e-05,-7.38537e-06,-2.70237e-05,-4.86763e-06,-1.05745e-05,1.79599e-05,2.13169e-05,2.56809e-05
44954,44954,35.6988,-6.86503e-05,-2.18204e-05,-2.26596e-05,-5.70687e-06,-2.3331e-05,-5.20333e-06,-8.22461e-06,6.88182e-06,4.80049e-05,2.71916e-05
44955,44955,35.6996,-3.6759e-05,-1.62814e-05,-2.19883e-05,-1.09102e-05,-1.24208e-05,-2.85344e-06,-8.72816e-06,3.18914e-06,7.55322e-05,2.13169e-05
44956,44956,35.7004,-1.54421e-05,-1.17494e-05,-2.21561e-05,-1.15816e-05,-6.54612e-06,-1.84634e-06,-5.87472e-06,-1.25887e-05,6.16007e-05,1.82956e-05
44957,44957,35.7011,-1.24208e-05,-1.15816e-05,-2.09812e-05,-9.23171e-06,6.37827e-06,-1.67849e-06,-4.19623e-06,-1.12459e-05,3.122e-05,1.69528e-05
44958,44958,35.7019,-1.2253e-05,-1.30922e-05,-1.91348e-05,-1.09102e-05,1.62814e-05,5.03548e-07,-1.51064e-06,-3.02129e-06,1.24208e-05,1.2253e-05
44959,44959,35.7027,-1.12459e-05,-1.69528e-05,-1.59457e-05,-1.51064e-06,1.02388e-05,5.03548e-07,-2.51774e-06,-4.36408e-06,1.19173e-05,1.14137e-05
44960,44960,35.7035,-1.02388e-05,-1.40993e-05,-1.42672e-05,1.79599e-05,-7.55322e-06,-2.85344e-06,-1.0071e-06,-1.39315e-05,1.86313e-05,1.07424e-05
44961,44961,35.7043,-1.10781e-05,-1.25887e-05,-2.03098e-05,1.39315e-05,-2.97093e-05,-4.19623e-06,-5.03548e-07,-1.84634e-05,1.76242e-05,9.9031e-06
44962,44962,35.7051,-8.22461e-06,-1.46029e-05,-2.63523e-05,-2.18204e-06,-4.58228e-05,-7.21752e-06,2.18204e-06,-1.74563e-05,1.37636e-05,7.88891e-06
44963,44963,35.7059,-3.18914e-06,-1.29244e-05,-2.63523e-05,-1.52743e-05,-5.33761e-05,-6.88182e-06,2.01419e-06,-1.72885e-05,-3.35698e-07,5.03548e-06
44964,44964,35.7067,-7.55322e-06,-9.56741e-06,-2.71916e-05,-2.56809e-05,-6.02579e-05,-6.21042e-06,4.86763e-06,-2.23239e-05,-1.32601e-05,1.51064e-06
44965,44965,35.7075,-8.56031e-06,-6.88182e-06,-2.70237e-05,-3.39055e-05,-6.96574e-05,-8.56031e-06,5.03548e-06,-2.50095e-05,-2.4506e-05,2.01419e-06
44966,44966,35.7083,-1.10781e-05,-1.25887e-05,-2.56809e-05,-3.87732e-05,-6.52934e-05,-9.23171e-06,1.67849e-07,-2.56809e-05,-2.60166e-05,-1.17494e-06
44967,44967,35.7091,-1.15816e-05,-1.35958e-05,-2.60166e-05,-2.70237e-05,-4.53193e-05,-9.73526e-06,2.18204e-06,-2.65202e-05,-2.04776e-05,8.39246e-07
44968,44968,35.7099,-6.88182e-06,-9.73526e-06,-2.36667e-05,-1.32601e-05,-2.90379e-05,-8.39246e-06,3.18914e-06,-2.73594e-05,-2.90379e-05,5.03548e-07
44969,44969,35.7107,-9.06386e-06,-1.2253e-05,-2.60166e-05,-2.21561e-05,-8.22461e-06,-6.21042e-06,2.51774e-06,-3.17235e-05,-5.18654e-05,-4.19623e-06
44970,44970,35.7115,-9.9031e-06,-1.25887e-05,-2.75273e-05,-4.41444e-05,4.53193e-06,-7.88891e-06,3.52483e-06,-3.30663e-05,-5.35439e-05,-9.56741e-06
44971,44971,35.7123,-1.04067e-05,-9.56741e-06,-2.38346e-05,-5.65652e-05,1.84634e-06,-9.23171e-06,3.35698e-06,-3.20592e-05,-4.31373e-05,-1.09102e-05
44972,44972,35.7131,-1.37636e-05,-1.17494e-05,-2.34989e-05,-5.74044e-05,-2.85344e-06,-9.56741e-06,2.85344e-06,-2.73594e-05,-3.10521e-05,-1.02388e-05
44973,44973,35.7139,-1.561e-05,-2.18204e-05,-2.03098e-05,-4.31373e-05,-9.9031e-06,-8.56031e-06,6.54612e-06,-2.29953e-05,-1.05745e-05,-1.32601e-05
44974,44974,35.7146,-1.52743e-05,-2.38346e-05,-1.25887e-05,-2.43381e-05,-1.46029e-05,-7.21752e-06,5.53903e-06,-2.83665e-05,1.05745e-05,-1.35958e-05
44975,44975,35.7154,-9.06386e-06,-2.09812e-05,-1.82956e-05,-1.02388e-05,-2.31632e-05,-2.18204e-06,3.18914e-06,-3.23949e-05,3.77661e-05,-1.46029e-05
44976,44976,35.7162,-8.39246e-07,-1.69528e-05,-2.19883e-05,-1.40993e-05,-8.17426e-05,-3.02129e-06,7.88891e-06,-2.83665e-05,5.75723e-05,-8.89601e-06
44977,44977,35.717,2.51774e-06,-1.52743e-05,-2.26596e-05,-1.29244e-05,-0.000123033,-5.70687e-06,4.53193e-06,-2.90379e-05,7.3518e-05,-2.18204e-06
44978,44978,35.7178,2.51774e-06,-1.46029e-05,-2.46738e-05,-7.55322e-06,-6.32792e-05,-5.20333e-06,5.03548e-07,-3.122e-05,8.02319e-05,3.69268e-06
44979,44979,35.7186,2.18204e-06,-1.37636e-05,-2.29953e-05,-1.19173e-05,-1.99741e-05,-3.52483e-06,2.01419e-06,-2.23239e-05,6.42863e-05,1.84634e-06
